,descricao_produto
606737,FILTRO COMB PSC 491
58052,LINHA DINNER CONE
353864,TOPIRAMATO 25MG CX.C 60CAP GEN EMS C1
702162,LONA AMARELA 6 X 50M
118382,BROCA A RAP IRWIN 5 32
425607,FLUIDO PARA FREIO 500ML 2174
681669,GRAMPEADOR TAPECEIRO 106 8
514653,TUBO ELETRODUTO 1 C 3M
403357,JG JUNTA INF
31144,CIMETIDINA 300MG
513456,LAMPADA 35W
351971,TOMADA TELEBRAS PR 2P ADAP. AMERICANO APLAM
437465,VARAO P CORTINA 4874
521422,BALA DORI HORTELA 700G
603644,REGISTRO GAVETA C 50
476911,ROLAMENTO 6307 2ZR
681296,TELEFONE SEM FIO TS40ID PT
327514,REGISTRO ESFERA SOLDAVEL C UNIAO 50MM
133345,COLHER PEDR 08 TRAMONTI CV
570545,STOMALIV 430 430 100MG PO EFERV 50 ENV X 5G SB ABACAXI
463614,ACUCAR CRISTAL MILCUCAR 1KG
51877,IPIRANGA F1 15W40 1L
92503,JUNTA TAMPA VALVULA FIRE 1000 8V
225244,CLORIDRATO TIORIDAZINA 50MG
624174,SACO LIXO HOSP. 50L INFEC. BCO C 100
697683,CAIXA PLASTICA PARA ARQUIVO POLIONDA
159289,CREME LEITE LATA NESTLE 300G
350045,TIRA URINA
175444,PNEU 175 70R14 84T TL CITYTECH II
602917,RL LA ATLAS 23CM REF 327 19 ROLO LA
135387,BORRACHA MERCUR TAM. 40 RECORD BRANCA
706115,TORTA SALGADA KG
123026,CAMISA SOCIAL MASCULINA
323765,CLOR SERTRALINA 50MG C 30 C1
519401,CARTUCHO FILTRO D
485480,LUVA GALV. 2
637384,MANGUEIRA LARANJA 1 2
397178,TESOURA ESC MASTERPRINT PM501 502
177479,POTE DOCE LEITE COM COCO 500G
689124,CAPACITOR PERMANENTE 25 UN 380V
505185,PORCA ALTO LOCK 12 MA 380
508132,ENSINO ARTES ONGS
640504,OLEO SINTETICO API 75W85 GEARTECH
252014,GUACHE 250 ML 517 LARANJA PC 3 ACRILEX
293704,PARAFUSO 8X70
201118,ALICATE BELZER 8
50722,HIDROSAN PLUS 50KG
574120,MADEIRA TORA EUCALIPTO
495554,GAVETEIRO MEL 3 GAV
274965,MANTEIGA TARTARUGA 200G
11985,CITALOPRAM BROMID. 20MG CX 30 COM GENERICO ZYDUS
340454,TELHA ROMANA 2
242614,VELA FILTRO LOREN ACQUA POE 9.3 4
65172,MORTADELA BOLONHA BONELLA PIF PAF KG
92423,ITRACONAZOL 100MG COMP
237682,FARINHA TRIGO D BENTA S F 1KG
165589,MOREIA
601354,ARRUELA FIBRA 14MM 915045.015100 010.218.0
471196,BORRACHA DA PONTA FLEXIVEL
425138,MEMORIA 8GB DDR4 2133MHZ
468446,A OUTRA FACE
526615,LUVA LIMPEZA TAM. M
532694,CABO VELAS RENAULT
388196,FILTRO LINHA C 05 TOMADAS
689032,PERFIL N19 3000MM CINZA
642980,JG TUCHO MOTOR
321792,UVA PASSA PRETA SEM SEMENTE
617569,JOELHO 20MM 90 PVCA FORTLEV
465062,LIXEIRA PEDAL
562507,PYR PAM FR 40ML
487541,FACA SERRA INOX
703151,LANZ 30 MG C 28 CAP GEL DURA
90412,CABINE SUPLEMENTAR
177789,F.KG.PREGO 19 X 36
201918,AMIODARONA CLORID 200MG CX.C 500 CAP. AMIORON GL
378784,FLANELA MANATEX
621424,ALCOOL CLARO HIDRATADO 1 L
97745,TINTA CORETON 7.0
47443,FUBA MIMOSO RAVENA 1KG
448978,OLHINHOS MOVEIS N 14 PCT COM 100
8613,OLANZAPINA 10MG 4BL X 7 COM REV
680218,PREGO P TELHA AMIANTO
591075,"REGENCEL 10000UN 25 5 5MG POM OFT 3,5G"
591073,REVITAM JUNIOR
290080,PAPEL HIGIENICO FOLHA SIMPLES
164606,MILGAMMA 150 MG C 30 CPR
241173,FILTRO COMBUSTIVEL K
432706,ESTRUTURAS METALICAS
17477,265 65R17 112T S ATR
23240,BATERIA 4 AH
69051,PAO FOLHADO UN
311094,REJUNTE 5KG COLORIDO QUARTZOLIT
670967,CADEIRA ESTOFADA FIXA PES PALITO
128589,CABO SELECAO MACHA
432096,E.V.A COM GLITER AZUL
118377,"BROCA A R 10,00MM"
235829,"ENXADA LARGA 3,0"
435696,RELE SEQUENCIA FASE 220V
65345,MOTOSSERRA MS 170 30CMS
553936,ROLAMENTO DA ESFERA
252835,GUIA LARGA 3000MM BRANCO TUPIA
271198,LUVAS LATEX MUCAMBO P
388420,CHAVE FENDA TRAM. YELLOW M 1 4X6
571433,CAIXA PLASTICA ORGANIZADORA 31 L
155356,HALDOL 5MG 20COM C1
168915,PAO COM MARGARINA
461179,CUBO HFCT38 FIC06
666915,TOALHA ROSTO SANTISTA 41X70CM
201014,ALGODAO APOLO HIDROFILO 100 G
545491,BRACO DO SETOR
192224,ESTICADOR CORRENTE TITAN 150
188342,PINO 3 SAIDA T COLORIDO
247818,FRESH TEARS
578226,MOLA CONICA CUICA FREIO
46336,FLUTINOL 1 MG ML SOL OFT 5 ML
131958,CODEINA FOSF. 30MG C 30 COM HOSP CODEIN A2
444918,PARAFUSO DESLIZANTE 30X95MM
525603,BORRACHA PONTEIRA COM 100
137944,DELICIA 500G
105765,ABDOMINAL DUPLO
168725,PANO PRATO DIA A DIA UN
239617,FILME DENTAL IP 21 INSIGHT
227170,REFIL COLA QUENTE FINO PCT C 1 KG
69879,PAPEL HIGIENICO PERSONAL FOLHA DUPLA 30M
499146,ESTANTE PLASTICA COLORIDA 60X17 JPROLAB
322286,SEPARADOR AGUA
16932,SECNIDAZOL 1000MG C 500 COM HOSP
276236,MASCARA PFF2 C VALVULA
64400,MIONEVRIX COMP
542168,LIVRO PONTO DIMESC MOD 127
658568,CORDA COLORIDA 10MM
336529,"SOLUCAO TAMPAO PH 4,01 FR 500ML"
708943,SONDA FOLEY 3 VIAS 10ML N.18
706356,EXTINTOR DESCARTAVEL
198747,AGUA MINERAL 500ML
42892,FECHADURA ALIANCA 1063 BA
569683,CREME DENTAL CONTENTE KIDS 50 GR SCOOBY
438631,MESALAZINA 800MG 30COM. GEN.1
587481,CABO 4MM CONDUMIG FLEXIVEL PRETO
682843,TEMPERO COMPLETO 1KG
112630,ASSENTO SANIT KRONA
408783,CANETA P ESCREVER CONVITE PRETA
449936,CAL BRANCO HIDRATADO PARA MASSA 20 KG
337375,TANQUE SINT GRANITO DUPLO 110X55CM
345837,ESTILETE PLASTICO FINO
31550,CLOR. SERTRALINA 50MG CX 490 COM GEN GEOLAB C1
188659,CAIXA BISCOITO SALPET
420434,BONE ARABE C ABA
327531,REGISTRO ESFERA SOLDAVEL 40MM AZUL CINZA
311982,REQUEIJAO BARRA
10387,RODIZIO GIRATORIO PARAFUSO 2
24417,BOIA PLASTICA AMANCO
311683,JOGO REPARO DA BOMBA INJETORA
538270,ALIMENTO ACHOCOLATADO PO 2KG
51317,INDICADOR BIOLOGICO C 10 AMPOLAS
409922,REGISTRO PVC 40MM
258755,JOGO MANTIMENTO ALUMINIO
458427,REQUEIJAO ENTRE RIOS 420GR
338901,TECLADO USB TC193
565847,ROLAMENTO DIANTEIRO VW
507521,CINTO
209536,BOLA FUTS.PENALTY MATIS 200
481999,VERNIZ ACRILEX VITRAL 37ML REF. 507 VERMELHO FOGO
617328,SILICONE P JUNTAS 2031.000.0
489206,PONTA SHOFU CHAMA
509756,KIT BARRA DO ESTABILIZADOR EXTERNO
665626,TE AZUL BC. LATAO 25MM X 12
475486,PAINEL CELULAR EUCATEX CINZA CRISTAL
161685,MACARRAO PCT 500G
625077,SALGADINHOS FRANGO
536260,LIXEIRA 16 L COM PEDAL
637647,EXTRATOR GRAMPO ESPATULA LEONORA
184240,ATLAS ROLO LA VELUDO 329 9CM
615062,COIFA CAIXA DIRECAO L DIR
205982,BACTOMAX 200MG PO LIOF. INJ. 10FA. 10AMP.DIL.X3ML
201729,PILHA RAYOVAC AMARELINHA AA
537116,"CARTUCHO TINTA ORIGINAL PRETO 662XL 6,5ML"
420903,ALMOTOLIA 250ML BRANCA BICO RETO JPROLAB
27843,CAIXA SATALITE DIFERENCIAL
